place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
building-623345,Melbourne Museum,building,Public Display Area,3.0,,-37.80401887,144.971635508,buildings_refuge_final.csv
building-101267,Metropolitan Fire Brigade Station No.3,building,Community Use,3.0,,-37.80394745,144.96237655,buildings_refuge_final.csv
building-664629,Grainger Museum Building 140,building,Public Display Area,3.0,,-37.79738772,144.961258672,buildings_refuge_final.csv
building-104980,Fairhall,building,Public Display Area,1.0,,-37.81382653,144.985100436,buildings_refuge_final.csv
building-110611,Australian Centre for Contemporary Art,building,Public Display Area,3.0,,-37.82656257,144.967169881,buildings_refuge_final.csv
building-623557,Melbourne Exhibition Centre,building,Public Display Area,0.0,,-37.82539976,144.952378154,buildings_refuge_final.csv
building-111027,La Trobes Cottage,building,Public Display Area,1.0,,-37.83182723,144.977155619,buildings_refuge_final.csv
building-587543,Northern Pavillion,building,Community Use,1.0,,-37.8410249,144.981738099,buildings_refuge_final.csv
building-687854,Flemington Oval Pavilion,building,Community Use,3.0,,-37.78638561,144.95091976,buildings_refuge_final.csv
building-615482,Kensington Neighbourhood House,building,Community Use,2.0,,-37.7932437,144.928005546,buildings_refuge_final.csv
building-100857,Metropolitan Fire Brigade Station No.2,building,Community Use,3.0,,-37.81055071,144.951010952,buildings_refuge_final.csv
building-110692,PUBLIC TOILETS,building,Community Use,3.0,,-37.80765748,144.957205484,buildings_refuge_final.csv
building-111423,Public Toilets,building,Community Use,3.0,,-37.80765748,144.957205484,buildings_refuge_final.csv
building-554855,Royal Exhibition Building,building,Public Display Area,3.0,,-37.80401887,144.971635508,buildings_refuge_final.csv
building-646962,Northern Pavilion,building,Community Use,1.0,,-37.78509038,144.961397654,buildings_refuge_final.csv
building-105463,Melbourne Assessment Prison,building,Community Use,2.0,,-37.81278505,144.950457803,buildings_refuge_final.csv
building-111203,East Melbourne Library,building,Public Display Area,3.0,,-37.8150637,144.986387188,buildings_refuge_final.csv
building-111454,Conservatory,building,Public Display Area,3.0,,-37.81296163,144.980455702,buildings_refuge_final.csv
building-110634,Metropolitan Fire Brigade,building,Community Use,2.0,,-37.82717762,144.960212967,buildings_refuge_final.csv
building-110736,National Gallery of Victoria,building,Public Display Area,3.0,,-37.82281706,144.968633818,buildings_refuge_final.csv
building-111022,Queen Victoria Gardens,building,Community Use,0.0,,-37.82188388,144.971196046,buildings_refuge_final.csv
building-646965,Edmund Herring Pavilion,building,Community Use,2.0,,-37.83182723,144.977155619,buildings_refuge_final.csv
building-587544,Southern Pavillion,building,Community Use,1.0,,-37.8410249,144.981738099,buildings_refuge_final.csv
building-630047,Newmarket Pavilion,building,Community Use,1.0,,-37.78809758,144.923097423,buildings_refuge_final.csv
building-618402,Kensington Neighbourhood Centre,building,Community Use,3.0,,-37.78939523,144.928609309,buildings_refuge_final.csv
building-104034,Flinders Street Station,building,Public Display Area,0.0,,-37.81866337,144.965469605,buildings_refuge_final.csv
building-608352,Northbank,building,Public Display Area,0.0,,-37.81922228,144.965150283,buildings_refuge_final.csv
building-104000,Immigration Museum,building,Public Display Area,2.0,,-37.81904221,144.96035931,buildings_refuge_final.csv
building-102048,Museum of Chinese Australian History,building,Public Display Area,3.0,,-37.81073698,144.969216465,buildings_refuge_final.csv
building-110756,Royal Mint,building,Public Display Area,3.0,,-37.81209045,144.957360919,buildings_refuge_final.csv
building-108559,Old Melbourne Gaol,building,Public Display Area,3.0,,-37.80782751,144.96525173,buildings_refuge_final.csv
building-512713,Kathleen Syme Centre,building,Community Use,3.0,,-37.7987209,144.965258417,buildings_refuge_final.csv
building-102148,Athenaeum Library and Theatre,building,"Performances, Conferences, Ceremonies",3.0,,-37.81485585,144.967277747,buildings_refuge_final.csv
landmark-0,North Melbourne Recreation Reserve,landmark,Informal Outdoor Facility (Park/Garden/Reserve),,,-37.7988345257153,144.941452061463,landmarks_refuge_candidates.csv
landmark-1,Princes Park,landmark,Informal Outdoor Facility (Park/Garden/Reserve),,,-37.7870161727156,144.961115214367,landmarks_refuge_candidates.csv
landmark-2,Argyle Square,landmark,Informal Outdoor Facility (Park/Garden/Reserve),,,-37.8031480577285,144.965761295089,landmarks_refuge_candidates.csv
