Property ID,Building name,Street address,CLUE small area,Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Latitude,Longitude
623345,Melbourne Museum,Melbourne Museum 11 Nicholson Street CARLTON VIC 3053,Carlton,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.80401887,144.971635508
101267,Metropolitan Fire Brigade Station No.3,MFB Station No.3 104-114 Bouverie Street CARLTON VIC 3053,Carlton,Community Use,High level of accessibility,Main Entrance has ramp,3.0,-37.80394745,144.96237655
664629,Grainger Museum Building 140,Grainger Museum Building 140 230 Grattan Street PARKVILLE VIC 3010,Parkville,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.79738772,144.961258672
104980,Fairhall,152-156 Hotham Street EAST MELBOURNE VIC 3002,East Melbourne,Public Display Area,Low level of accessibility,All entrances have steps,1.0,-37.81382653,144.985100436
110611,Australian Centre for Contemporary Art,Australian Centre Contemporary Art 101-111 Sturt Street SOUTHBANK VIC 3006,Southbank,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.82656257,144.967169881
623557,Melbourne Exhibition Centre,Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,Southbank,Public Display Area,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,-37.82539976,144.952378154
111027,La Trobes Cottage,La Trobe's Cottage 37 Dallas Brooks Drive MELBOURNE VIC 3004,Melbourne (Remainder),Public Display Area,Low level of accessibility,All entrances have steps,1.0,-37.83182723,144.977155619
587543,Northern Pavillion,Northern Pavilion Fawkner Park Off Toorak Road SOUTH YARRA VIC 3141,South Yarra,Community Use,Low level of accessibility,All entrances have steps,1.0,-37.8410249,144.981738099
687854,Flemington Oval Pavilion,Flemington Oval Pavilion Royal Park 54 Flemington Road PARKVILLE VIC 3052,Parkville,Community Use,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.78638561,144.95091976
615482,Kensington Neighbourhood House,Kensington Neighbourhood House 89 McCracken Street KENSINGTON VIC 3031,Kensington,Community Use,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,-37.7932437,144.928005546
100857,Metropolitan Fire Brigade Station No.2,58-64 Batman Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Community Use,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.81055071,144.951010952
110692,PUBLIC TOILETS,Queen Vic Market Toilets Queen Victoria Market Therry Street MELBOURNE VIC 3000,Melbourne (CBD),Community Use,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.80765748,144.957205484
111423,Public Toilets,465 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Community Use,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.80765748,144.957205484
554855,Royal Exhibition Building,Royal Exhibition Building 9 Nicholson Street CARLTON VIC 3053,Carlton,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.80401887,144.971635508
646962,Northern Pavilion,Northern Sports Pavilion Princes Park 360 Royal Parade CARLTON NORTH VIC 3054,Carlton,Community Use,Low level of accessibility,All entrances have steps,1.0,-37.78509038,144.961397654
105463,Melbourne Assessment Prison,Melbourne Assessment Prison 317-353 Spencer Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Community Use,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,-37.81278505,144.950457803
111203,East Melbourne Library,East Melbourne Library 120-126 George Street EAST MELBOURNE VIC 3002,East Melbourne,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.8150637,144.986387188
111454,Conservatory,Conservatory Fitzroy Gardens Wellington Parade EAST MELBOURNE VIC 3002,East Melbourne,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.81296163,144.980455702
110634,Metropolitan Fire Brigade,MFB Station No.38 26-40 Moray Street SOUTHBANK VIC 3006,Southbank,Community Use,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,-37.82717762,144.960212967
110736,National Gallery of Victoria,NGV International 130-200 St Kilda Road SOUTHBANK VIC 3006,Southbank,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,-37.82281706,144.968633818
111022,Queen Victoria Gardens,Queen Victoria Gardens St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Community Use,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,-37.82188388,144.971196046
646965,Edmund Herring Pavilion,Edmund Herring Pavilion Kings Domain South 19 Dallas Brooks Drive MELBOURNE VIC 3004,Melbourne (Remainder),Community Use,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,-37.83182723,144.977155619
587544,Southern Pavillion,Southern Pavilion Fawkner Park Off Commercial Road SOUTH YARRA VIC 3141,South Yarra,Community Use,Low level of accessibility,All entrances have steps,1.0,-37.8410249,144.981738099
