GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation,lat,lon,CONDITION_CATEGORY
1078893,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"Bourke Street between Spring Street and Exhibition Street approximately 17m West of Spaghetti Tree, Ground, 59-63 Bourke Street, Melbourne, 3000",3.37,2021-04-30,321421.98,5813108.43,2021-08-14,"-37.81196859547474, 144.97129539621886",-37.81196859547474,144.97129539621886,Average
1078910,Seat - Handrail Steps and Seating Wall,Outdoor Furniture,Seat,201101-011,Seat - Handrail Steps and Seating Wall,Infrastructure and Assets,City of Melbourne,"Bourke Street between Swanston Street and Elizabeth Street approximately 21m NW of Optus, Shop 5-5A, Ground, 355 Bourke Street, Melbourne, 3000",3.45,2021-04-30,320726.63,5812852.83,2021-08-14,"-37.81413462369066, 144.96333729992477",-37.81413462369066,144.96333729992477,Average
1078950,Seat - Metal Semi-circular Seats,Outdoor Furniture,Seat,201101-021,Seat - Metal Semi-circular Seats,Infrastructure and Assets,City of Melbourne,"Grattan Street between Lygon Street and Cardigan Street approximately 6m NW of Eyetech Optometrists, 85 Grattan Street, Carlton, 3053",3.11,2021-04-30,320969.66,5814340.01,2021-08-14,"-37.80078654068136, 144.96646421301875",-37.80078654068136,144.96646421301875,Average
1078970,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Exhibition Street between Little Collins Street and Bourke Street approximately 27m SW of Panini Bar, 150 Exhibition Street, Melbourne, 3000",3.13,2021-04-30,321356.88,5813063.8,2021-08-14,"-37.81235786442496, 144.97054525692658",-37.81235786442496,144.97054525692658,Average
1079075,Seat - Metal Bench,Outdoor Furniture,Seat,201101-012,Seat - Metal Bench,Infrastructure and Assets,City of Melbourne,"Victoria Parade between Powlett Street and Clarendon Street approximately 34m East of Winnett Specialist Group, 382 Victoria Parade, East Melbourne, 3002",1.0,2021-04-30,322606.05,5813412.11,2021-08-14,"-37.809464019200384, 144.98481352238164",-37.809464019200384,144.98481352238164,Poor
1079129,Seat - Metal Bench,Outdoor Furniture,Seat,201101-012,Seat - Metal Bench,Infrastructure and Assets,City of Melbourne,"Flinders Street between William Street and King Street approximately 37m North of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",3.17,2021-04-30,320356.37,5812217.39,2021-08-14,"-37.81978552691327, 144.95897570377667",-37.81978552691327,144.95897570377667,Average
1079162,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Bourke Street between Elizabeth Street and Queen Street approximately 26m SW of Bupa Optical, Shop, Ground, 388 Bourke Street, Melbourne, 3000",3.16,2021-04-30,320601.93,5812807.86,2021-08-14,"-37.81451519136616, 144.9619103095699",-37.81451519136616,144.9619103095699,Average
1079163,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Tramways Signal Cabin, Shelter and Conveniences approximately 28m NE of Audi Centre Melbourne, Ground, 501 Swanston Street, Melbourne, 3000",3.01,2021-04-30,320650.86,5813666.3,2021-08-14,"-37.80679242685809, 144.96267842701562",-37.80679242685809,144.96267842701562,Average
1079236,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Coventry Street between Dodds Street and Sturt Street approximately 64m SE of Sturt Street Reserve, 276-280 Sturt Street, Southbank, 3006",2.99,2021-04-30,320977.71,5811058.31,2021-08-14,"-37.83034799994752, 144.96574428835552",-37.83034799994752,144.96574428835552,Average
1079265,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Victoria Parade between Clarendon Street and Eades Street approximately 6m NE of Freemasons Victoria, 288 Victoria Parade, East Melbourne, 3002",2.96,2021-04-30,322315.8,5813446.14,2021-08-14,"-37.80910104985144, 144.9815265229975",-37.80910104985144,144.9815265229975,Average
1079340,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Queensberry Street between Curzon Street and Abbotsford Street approximately 3m NE of 649 Queensberry Street, North Melbourne, 3051",3.05,2021-04-30,319164.57,5814081.93,2021-08-14,"-37.80275553934241, 144.94590854136072",-37.80275553934241,144.94590854136072,Average
1079387,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Queen Street between Lonsdale Street and Little Lonsdale Street approximately 4m SW of 248 Queen Street, Melbourne, 3000",3.11,2021-04-30,320412.29,5813002.52,2021-08-14,"-37.81272451040829, 144.95980539035148",-37.81272451040829,144.95980539035148,Average
1079396,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Collins Street between Elizabeth Street and Queen Street approximately 22m NE of Commonwealth Bank Of Australia, 319 Collins Street, Melbourne, 3000",3.17,2021-04-30,320764.93,5812600.32,2021-08-14,"-37.81641662268763, 144.96370966112207",-37.81641662268763,144.96370966112207,Average
1079400,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Leicester Street between Queensberry Street and Pelham Street approximately 4m West of CitiPower Pty Ltd, Substation 60, 90 Leicester Street, Carlton, 3053",2.95,2021-04-30,320450.73,5813974.59,2021-08-14,"-37.80397618122666, 144.96048276930605",-37.80397618122666,144.96048276930603,Average
1079446,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 14m SW of LwrGround, Southbank Promenade, Southbank, 3006",3.16,2021-04-30,320914.48,5812196.8,2021-08-14,"-37.82008067560694, 144.96530790681",-37.82008067560694,144.96530790681,Average
1079450,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 15m East of LwrGround, Southbank Promenade, Southbank, 3006",3.16,2021-04-30,320939.45,5812203.29,2021-08-14,"-37.82002711645422, 144.9655930459265",-37.82002711645422,144.9655930459265,Average
1079465,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Riverside Avenue between St Kilda Road and Southgate Avenue approximately 67m NW of Quay West Suites Melbourne, Pt Gnd & Pt Lvls 5-15, 26 Southgate Avenue, Southbank, 3006",3.16,2021-04-30,321062.92,5812228.91,2021-08-14,"-37.819820560730115, 144.96700137786993",-37.81982056073012,144.9670013778699,Average
1079468,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Lygon Street between Victoria Street and Queensberry Street approximately 7m NE of RMIT City Campus Children's Centre, RMIT, 17-25 Lygon Street, Carlton, 3053",3.08,2021-04-30,320926.94,5813723.85,2021-08-14,"-37.80632823110592, 144.96582697316487",-37.80632823110592,144.96582697316487,Average
1079484,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Victoria Street between O'Connell Street and Cobden Street approximately 2m NE of Market Sports, 123-125 Victoria Street, Melbourne, 3000",3.16,2021-04-30,320180.49,5813727.14,2021-08-14,"-37.80615190222117, 144.9573534631669",-37.80615190222117,144.9573534631669,Average
1079491,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Bourke Street between Elizabeth Street and Queen Street approximately 24m West of Ground, 423 Bourke Street, Melbourne, 3000",3.16,2021-04-30,320542.5,5812761.89,2021-08-14,"-37.81491758290109, 144.96122414331958",-37.81491758290109,144.96122414331958,Average
1079493,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"King Street between Little Lonsdale Street and La Trobe Street approximately 27m NE of 295-309 King Street, Melbourne, 3000",3.12,2021-04-30,319938.38,5812937.16,2021-08-14,"-37.8132198841291, 144.95440846535308",-37.8132198841291,144.95440846535308,Average
1079498,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Gisborne Street between Albert Street and Victoria Parade approximately 41m NW of Zouki Cafe, Ground, 32 Gisborne Street, East Melbourne, 3002",2.16,2021-04-30,321792.8,5813469.7,2021-08-14,"-37.808786899373196, 144.97559449807892",-37.8087868993732,144.97559449807892,Average
1079502,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Albert Street between Nicholson Street and Gisborne Street approximately 8m West of Metropolitan Fire & Emergency Services Board, 456 Albert Street, East Melbourne, 3002",3.16,2021-04-30,321753.13,5813403.52,2021-08-14,"-37.809375275255086, 144.97512782665984",-37.809375275255086,144.97512782665984,Average
1079513,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 45m East of Yarra Botanicals, Sandridge Wharf, Southbank Promenade, Southbank, 3006",3.16,2021-04-30,320759.73,5812142.98,2021-08-14,"-37.820535078663646, 144.96353739979818",-37.820535078663646,144.96353739979818,Average
1079516,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 61m East of Yarra Botanicals, Sandridge Wharf, Southbank Promenade, Southbank, 3006",2.16,2021-04-30,320775.09,5812156.32,2021-08-14,"-37.82041793556184, 144.96371511569345",-37.82041793556184,144.96371511569345,Average
1079550,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Dodds Street between Miles Street and Grant Street approximately 22m NW of CitiPower Pty Ltd, Substation, 99-101 Dodds Street, Southbank, 3006",2.99,2021-04-30,321101.28,5811304.35,2021-08-14,"-37.82815604027054, 144.96720844490918",-37.82815604027054,144.96720844490918,Average
1079564,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Weedon Reserve approximately 15m North of 43 Wellington Parade South, East Melbourne, 3002",2.94,2021-04-30,322956.32,5812543.17,2021-08-14,"-37.81735908961137, 144.98857789149974",-37.81735908961137,144.98857789149974,Average
1079572,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Approximately 33m NE of Town Hall Rail Station, 9-29 Swanston Street, Melbourne, 3000",3.16,2021-04-30,321089.14,5812556.49,2021-08-14,"-37.81687502656954, 144.96738005056193",-37.81687502656954,144.96738005056193,Average
1079585,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Barkly Street between Nicholson Street and Canning Street approximately 23m East of Beaurepaires For Tyres, 1-13 Elgin Street, Carlton, 3053",2.92,2021-04-30,321672.65,5814656.43,2021-08-14,"-37.79807390439489, 144.97452246875454",-37.79807390439489,144.97452246875454,Average
1079618,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Gisborne Street between Albert Street and Victoria Parade approximately 50m North of Zouki Cafe, Ground, 32 Gisborne Street, East Melbourne, 3002",3.16,2021-04-30,321839.0,5813494.13,2021-08-14,"-37.80857586110251, 144.97612503036785",-37.80857586110251,144.97612503036785,Average
1079619,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Queen Street between Flinders Street and Flinders Lane approximately 37m NW of Aecc Global, Unit 2, Ground, 20 Queen Street, Melbourne, 3000",3.1,2021-04-30,320619.55,5812403.93,2021-08-14,"-37.81815703988791, 144.9620103050557",-37.81815703988791,144.9620103050557,Average
1079635,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Flemington Road between Blackwood Street and Wreckyn Street approximately 5m East of Domino's Pizza, 23 Flemington Road, North Melbourne, 3051",3.0,2021-04-30,320019.84,5814349.7,2021-08-14,"-37.80051257315345, 144.95568427824153",-37.80051257315345,144.9556842782415,Average
1079642,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Pelham Street between Drummond Street and Lygon Street approximately 3m North of 75 Pelham Street, Carlton, 3053",3.12,2021-04-30,321012.17,5814099.37,2021-08-14,"-37.802962441458746, 144.96688734838466",-37.802962441458746,144.96688734838466,Average
1079674,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Willis Street between Stockmans Way and The Crescent approximately 6m North of 55 Willis Street, Kensington, 3031",3.14,2021-04-30,316738.18,5815060.48,2021-08-14,"-37.79345780986544, 144.91861145339658",-37.79345780986544,144.91861145339658,Average
1079676,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Boulevard between St Kilda Road and Sturt Street approximately 69m NE of CitiPower Pty Ltd, Substation, 98 Sturt Street, Southbank, 3006",2.63,2021-04-30,321133.18,5811813.52,2021-08-14,"-37.823575954490764, 144.9676965416807",-37.82357595449077,144.9676965416807,Average
1079695,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 35m South of Ponyfish Island, Kiosk, Evan Walker Bridge, Southbank, 3006",3.16,2021-04-30,320874.79,5812186.35,2021-08-14,"-37.82016701470475, 144.96485464210605",-37.82016701470475,144.96485464210605,Average
1079700,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Southbank Promenade approximately 57m SW of Yarra Botanicals, Sandridge Wharf, Southbank Promenade, Southbank, 3006",3.16,2021-04-30,320662.85,5812121.85,2021-08-14,"-37.820706374202274, 144.96243208979237",-37.820706374202274,144.96243208979237,Average
1079715,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Approximately 36m East of Yarra Botanicals, Sandridge Wharf, Southbank Promenade, Southbank, 3006",1.16,2021-04-30,320750.26,5812153.11,2021-08-14,"-37.82044197308232, 144.9634323757278",-37.82044197308232,144.9634323757278,Poor
1079753,Seat - Metal Bench,Outdoor Furniture,Seat,201101-012,Seat - Metal Bench,Infrastructure and Assets,City of Melbourne,"La Trobe Street between Wills Street and William Street approximately 51m East of Bird's Basement, 11 Singers Lane, Melbourne, 3000",3.09,2021-04-30,320191.95,5813146.84,2021-08-14,"-37.811381183256884, 144.95733952235818",-37.81138118325688,144.95733952235818,Average
1079760,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"St Augustines Church approximately 45m South of The Royal Melbourne Hotel, 621-633 Bourke Street, Melbourne, 3000",1.0,2021-04-30,320001.63,5812509.1,2021-08-14,"-37.817088077712285, 144.95502019647282",-37.817088077712285,144.95502019647282,Poor
1079845,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Queen Street between Flinders Lane and Collins Street approximately 11m North of All Star Comics Melbourne, Basement,Ground & Level 1, 53-57 Queen Street, Melbourne, 3000",3.1,2021-04-30,320587.45,5812485.33,2021-08-14,"-37.81741752317858, 144.9616659903112",-37.81741752317858,144.9616659903112,Average
1079849,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Bourke Street between King Street and Spencer Street approximately 34m North of Movenpick Hotel Melbourne On Spencer, 160 Spencer Street, Melbourne, 3000",3.16,2021-04-30,319872.74,5812527.5,2021-08-14,"-37.816896914590274, 144.9535612994381",-37.816896914590274,144.9535612994381,Average
